id,name,lng,lat,tag,created_at,updated_at
1,Romantik Hotel Fuchsbau,10.748155,53.987832,0,2019-05-31 15:55:03.749686,2019-05-31 15:55:03.749686
2,Parking,10.77427,54.000366,0,2019-05-31 15:55:03.769467,2019-05-31 15:55:03.769467
3,Reethus,10.775784,54.001642,0,2019-05-31 15:55:03.785106,2019-05-31 15:55:03.785106
4,Hipotels Gran Conil,-6.0980118,36.283648,0,2019-05-31 15:55:03.792716,2019-05-31 15:55:03.792716
5,Busbahnhof,-6.0857567,36.278885,0,2019-05-31 15:55:03.805891,2019-05-31 15:55:03.805891
6,Bushaltestelle,-6.0740543,36.294975,0,2019-05-31 15:55:03.816582,2019-05-31 15:55:03.816582
7,Restsurant Feduchs,-6.0876155,36.276054,0,2019-05-31 15:55:03.828116,2019-05-31 15:55:03.828116
8,Panorama,-6.13994,36.295426,0,2019-05-31 15:55:03.857926,2019-05-31 15:55:03.857926
9,Plaza de España,-5.9627614,36.253552,0,2019-05-31 15:55:03.869009,2019-05-31 15:55:03.869009
10,Bushaltestelle,-5.9678844,36.255685,0,2019-05-31 15:55:03.881416,2019-05-31 15:55:03.881416
11,Tarifa,-5.6048947,36.012783,0,2019-05-31 15:55:03.895674,2019-05-31 15:55:03.895674
12,Medina Sidonia,-5.9272731,36.457671,0,2019-05-31 15:55:03.914926,2019-05-31 15:55:03.914926
13,Iglesia de Santa María La Coronada,-5.9255779,36.458044,0,2019-05-31 15:55:03.933931,2019-05-31 15:55:03.933931
14,Dia,-6.0925209,36.285795,0,2019-05-31 15:55:03.957318,2019-05-31 15:55:03.957318
15,Mercadona,-6.0886938,36.284607,0,2019-05-31 15:55:04.010971,2019-05-31 15:55:04.010971
16,SuperSol,-6.0899889,36.280227,0,2019-05-31 15:55:04.050971,2019-05-31 15:55:04.050971
17,Titus Bar,-6.0918829,36.276314,0,2019-05-31 15:55:04.080843,2019-05-31 15:55:04.080843
18,Cadiz 11,-6.0903567,36.275494,0,2019-05-31 15:55:04.094618,2019-05-31 15:55:04.094618
19,Museo de Raices Conilaes,-6.0894461,36.274851,0,2019-05-31 15:55:04.124127,2019-05-31 15:55:04.124127
20,Plaza de España,-6.0879722,36.275553,0,2019-05-31 15:55:04.140161,2019-05-31 15:55:04.140161
21,Gebäude,-6.0881654,36.27761,0,2019-05-31 15:55:04.166825,2019-05-31 15:55:04.166825
22,ESTUDIO 1 DORMITORIO CON PERFECTA UBICACION,-6.0871381,36.278463,0,2019-05-31 15:55:04.190577,2019-05-31 15:55:04.190577
23,Mercado Municipal de Abastos,-6.0887273,36.279379,0,2019-05-31 15:55:04.224137,2019-05-31 15:55:04.224137
24,Unbekannter Ort,-6.0844609,36.283228,0,2019-05-31 15:55:04.233584,2019-05-31 15:55:04.233584
25,Calle Mercurio,-6.0884963,36.28056,0,2019-05-31 15:55:04.247688,2019-05-31 15:55:04.247688
26,Calle Sol,-6.0878824,36.281294,0,2019-05-31 15:55:04.259446,2019-05-31 15:55:04.259446
27,Calle Trafalgar,-6.0866167,36.282021,0,2019-05-31 15:55:04.276838,2019-05-31 15:55:04.276838
